Model,RMSE - Train,RMSE - Primary test,RMSE - Secondary test,MPE - Train,MPE - Primary test,MPE - Secondary test
Variance model,[122.02887724926278],[136.52446061754083],[211.24598481541702],[16.081322862576673],[17.045075677258207],[11.85947556260266]
Discharge model,[78.8179444052662],[337.441513030556],[150.58114304696866],[10.75782623519812],[17.836345761660393],[8.533711973537672]
Full model,[69.10138050704857],[189.94643777023745],[263.57630477519945],[9.061372753065815],[18.367745336298675],[17.955616115902355]
